PassengerId,Survived,Pclass,Sex,SibSp,Fare,Age,Embarked
1,0,1,Male,1,7.25,22,S
2,1,3,Female,1,71.2833,38,C
3,1,1,Female,0,7.925,26,S
4,1,3,Female,1,53.1,35,S
5,0,1,Male,0,8.05,35,S
6,0,1,Male,0,8.4583,29,Q
7,0,3,Male,0,51.8625,54,S
8,0,1,Male,3,21.075,2,S
9,1,1,Female,0,11.1333,27,S
10,1,2,Female,1,30.0708,14,C
11,1,1,Female,1,16.7,4,S
12,1,3,Female,0,26.55,58,S
13,0,1,Male,0,8.05,20,S
14,0,1,Male,1,31.275,39,S
15,0,1,Female,0,7.8542,14,S
16,1,2,Female,0,16,55,S
17,0,1,Male,4,29.125,2,Q
18,1,2,Male,0,13,29,S
19,0,1,Female,1,18,31,S
20,1,1,Female,0,7.225,37,C
21,0,2,Male,0,26,35,S
22,1,2,Male,0,13,34,S
23,1,1,Female,0,8.0292,15,Q
24,1,3,Male,0,35.5,28,S
25,0,1,Female,3,21.075,8,S
26,1,1,Female,1,31.3875,38,S
27,0,1,Male,0,7.225,29,C
28,0,3,Male,3,263,19,S
29,1,1,Female,0,7.8792,22,Q
30,0,1,Male,0,7.8958,29,S
31,0,3,Male,0,27.7208,40,C
32,1,3,Female,1,146.5208,37,C
33,1,1,Female,0,7.75,22,Q
34,0,2,Male,0,10.5,66,S
35,0,3,Male,1,82.1708,28,C
36,0,3,Male,1,52,42,S
37,1,1,Male,0,7.2292,29,C
38,0,1,Male,0,8.05,21,S
39,0,1,Female,2,18,18,S
40,1,1,Female,1,11.2417,14,C
41,0,1,Female,1,9.475,40,S
42,0,2,Female,1,21,27,S
43,0,1,Male,0,7.8958,29,C
44,1,2,Female,1,41.5792,3,C
45,1,1,Female,0,7.8792,19,Q
46,0,1,Male,0,8.05,29,S
47,0,1,Male,1,15.5,29,Q
48,1,1,Female,0,7.75,22,Q
49,0,1,Male,2,21.6792,29,C
50,0,1,Female,1,17.8,18,S
51,0,1,Male,4,39.6875,7,S
52,0,1,Male,0,7.8,21,S
53,1,3,Female,1,76.7292,49,C
54,1,2,Female,1,26,29,S
55,0,3,Male,0,61.9792,65,C
56,1,3,Male,0,35.5,29,S
57,1,2,Female,0,10.5,21,S
58,0,1,Male,0,7.2292,28.5,C
59,1,2,Female,1,27.75,5,S
60,0,1,Male,5,46.9,11,S
61,0,1,Male,0,7.2292,22,C
63,0,3,Male,1,83.475,45,S
64,0,1,Male,3,27.9,4,S
65,0,3,Male,0,27.7208,29,C
66,1,1,Male,1,15.2458,6,C
67,1,2,Female,0,10.5,29,S
68,0,1,Male,0,8.1583,19,S
69,1,1,Female,4,7.925,17,S
70,0,1,Male,2,8.6625,26,S
71,0,2,Male,0,10.5,32,S
72,0,1,Female,5,46.9,16,S
73,0,2,Male,0,73.5,21,S
74,0,1,Male,1,14.4542,26,C
75,1,1,Male,0,56.4958,32,S
76,0,1,Male,0,7.65,25,S
77,0,1,Male,0,7.8958,29,S
78,0,1,Male,0,8.05,29,S
79,1,2,Male,0,29,0.83,S
80,1,1,Female,0,12.475,30,S
81,0,1,Male,0,9,22,S
82,1,1,Male,0,9.5,29,S
83,1,1,Female,0,7.7875,22,Q
84,0,3,Male,0,47.1,28,S
85,1,2,Female,0,10.5,17,S
86,1,1,Female,3,15.85,33,S
87,0,1,Male,1,34.375,16,S
88,0,1,Male,0,8.05,29,S
89,1,3,Female,3,263,23,S
90,0,1,Male,0,8.05,24,S
91,0,1,Male,0,8.05,29,S
92,0,1,Male,0,7.8542,20,S
93,0,3,Male,1,61.175,46,S
94,0,1,Male,1,20.575,26,S
95,0,1,Male,0,7.25,59,S
96,0,1,Male,0,8.05,29,S
97,0,3,Male,0,34.6542,71,C
98,1,3,Male,0,63.3583,23,C
99,1,2,Female,0,23,34,S
100,0,2,Male,1,26,34,S
101,0,1,Female,0,7.8958,28,S
102,0,1,Male,0,7.8958,29,S
103,0,3,Male,0,77.2875,21,S
104,0,1,Male,0,8.6542,33,S
105,0,1,Male,2,7.925,37,S
106,0,1,Male,0,7.8958,28,S
107,1,1,Female,0,7.65,21,S
108,1,1,Male,0,7.775,29,S
109,0,1,Male,0,7.8958,38,S
110,1,1,Female,1,24.15,22,Q
111,0,3,Male,0,52,47,S
112,0,1,Female,1,14.4542,14.5,C
113,0,1,Male,0,8.05,22,S
114,0,1,Female,1,9.825,20,S
115,0,1,Female,0,14.4583,17,C
116,0,1,Male,0,7.925,21,S
117,0,1,Male,0,7.75,70.5,Q
118,0,2,Male,1,21,29,S
119,0,3,Male,0,247.5208,24,C
120,0,1,Female,4,31.275,2,S
121,0,2,Male,2,73.5,21,S
122,0,1,Male,0,8.05,29,S
123,0,2,Male,1,30.0708,32.5,C
124,1,2,Female,0,13,32.5,S
125,0,3,Male,0,77.2875,54,S
126,1,1,Male,1,11.2417,12,C
127,0,1,Male,0,7.75,29,Q
128,1,1,Male,0,7.1417,24,S
129,1,1,Female,1,22.3583,22,C
130,0,1,Male,0,6.975,45,S
131,0,1,Male,0,7.8958,33,C
132,0,1,Male,0,7.05,20,S
133,0,1,Female,1,14.5,47,S
134,1,2,Female,1,26,29,S
135,0,2,Male,0,13,25,S
136,0,2,Male,0,15.0458,23,C
137,1,3,Female,0,26.2833,19,S
138,0,3,Male,1,53.1,37,S
139,0,1,Male,0,9.2167,16,S
140,0,3,Male,0,79.2,24,C
141,0,1,Female,0,15.2458,37,C
142,1,1,Female,0,7.75,22,S
143,1,1,Female,1,15.85,24,S
144,0,1,Male,0,6.75,19,Q
145,0,2,Male,0,11.5,18,S
146,0,2,Male,1,36.75,19,S
147,1,1,Male,0,7.7958,27,S
148,0,1,Female,2,34.375,9,S
149,0,2,Male,0,26,36.5,S
150,0,2,Male,0,13,42,S
151,0,2,Male,0,12.525,51,S
152,1,3,Female,1,66.6,22,S
153,0,1,Male,0,8.05,55.5,S
154,0,1,Male,0,14.5,40.5,S
155,0,1,Male,0,7.3125,29,S
156,0,3,Male,0,61.3792,51,C
157,1,1,Female,0,7.7333,16,Q
158,0,1,Male,0,8.05,30,S
159,0,1,Male,0,8.6625,29,S
160,0,1,Male,8,69.55,6,S
161,0,1,Male,0,16.1,44,S
162,1,2,Female,0,15.75,40,S
163,0,1,Male,0,7.775,26,S
164,0,1,Male,0,8.6625,17,S
165,0,1,Male,4,39.6875,1,S
166,1,1,Male,0,20.525,9,S
167,1,3,Female,0,55,37,S
168,0,1,Female,1,27.9,45,S
169,0,3,Male,0,25.925,29,S
170,0,1,Male,0,56.4958,28,S
171,0,3,Male,0,33.5,61,S
172,0,1,Male,4,29.125,4,Q
173,1,1,Female,1,11.1333,1,S
174,0,1,Male,0,7.925,21,S
175,0,3,Male,0,30.6958,56,C
176,0,1,Male,1,7.8542,18,S
177,0,1,Male,3,25.4667,6,S
178,0,3,Female,0,28.7125,50,C
179,0,2,Male,0,13,30,S
180,0,1,Male,0,0,36,S
181,0,1,Female,8,69.55,22,S
182,0,2,Male,0,15.05,29,C
183,0,1,Male,4,31.3875,9,S
184,1,2,Male,2,39,1,S
185,1,1,Female,0,22.025,4,S
186,0,3,Male,0,50,29,S
187,1,1,Female,1,15.5,37,Q
188,1,3,Male,0,26.55,45,S
189,0,1,Male,1,15.5,40,Q
190,0,1,Male,0,7.8958,36,S
191,1,2,Female,0,13,32,S
192,0,2,Male,0,13,19,S
193,1,1,Female,1,7.8542,19,S
194,1,2,Male,1,26,3,S
195,1,3,Female,0,27.7208,44,C
196,1,3,Female,0,146.5208,58,C
197,0,1,Male,0,7.75,29,Q
198,0,1,Male,0,8.4042,42,S
199,1,1,Female,0,7.75,22,Q
200,0,2,Female,0,13,24,S
201,0,1,Male,0,9.5,28,S
202,0,1,Male,8,69.55,29,S
203,0,1,Male,0,6.4958,34,S
204,0,1,Male,0,7.225,45.5,C
205,1,1,Male,0,8.05,18,S
206,0,1,Female,0,10.4625,2,S
207,0,1,Male,1,15.85,32,S
208,1,1,Male,0,18.7875,26,C
209,1,1,Female,0,7.75,16,Q
210,1,3,Male,0,31,40,C
211,0,1,Male,0,7.05,24,S
212,1,2,Female,0,21,35,S
213,0,1,Male,0,7.25,22,S
214,0,2,Male,0,13,30,S
215,0,1,Male,1,7.75,29,Q
216,1,3,Female,1,113.275,31,C
217,1,1,Female,0,7.925,27,S
218,0,2,Male,1,27,42,S
219,1,3,Female,0,76.2917,32,C
220,0,2,Male,0,10.5,30,S
221,1,1,Male,0,8.05,16,S
222,0,2,Male,0,13,27,S
223,0,1,Male,0,8.05,51,S
224,0,1,Male,0,7.8958,29,S
225,1,3,Male,1,90,38,S
226,0,1,Male,0,9.35,22,S
227,1,2,Male,0,10.5,19,S
228,0,1,Male,0,7.25,20.5,S
229,0,2,Male,0,13,18,S
230,0,1,Female,3,25.4667,22,S
231,1,3,Female,1,83.475,35,S
232,0,1,Male,0,7.775,29,S
233,0,2,Male,0,13.5,59,S
234,1,1,Female,4,31.3875,5,S
235,0,2,Male,0,10.5,24,S
236,0,1,Female,0,7.55,22,S
237,0,2,Male,1,26,44,S
238,1,2,Female,0,26.25,8,S
239,0,2,Male,0,10.5,19,S
240,0,2,Male,0,12.275,33,S
241,0,1,Female,1,14.4542,22,C
242,1,1,Female,1,15.5,22,Q
243,0,2,Male,0,10.5,29,S
244,0,1,Male,0,7.125,22,S
245,0,1,Male,0,7.225,30,C
246,0,3,Male,2,90,44,Q
247,0,1,Female,0,7.775,25,S
248,1,2,Female,0,14.5,24,S
249,1,3,Male,1,52.5542,37,S
250,0,2,Male,1,26,54,S
251,0,1,Male,0,7.25,29,S
252,0,1,Female,1,10.4625,29,S
253,0,3,Male,0,26.55,62,S
254,0,1,Male,1,16.1,30,S
255,0,1,Female,0,20.2125,41,S
256,1,1,Female,0,15.2458,29,C
257,1,3,Female,0,79.2,37,C
258,1,3,Female,0,86.5,30,S
259,1,3,Female,0,512.3292,35,C
260,1,2,Female,0,26,50,S
261,0,1,Male,0,7.75,29,Q
262,1,1,Male,4,31.3875,3,S
263,0,3,Male,1,79.65,52,S
264,0,3,Male,0,0,40,S
265,0,1,Female,0,7.75,22,Q
266,0,2,Male,0,10.5,36,S
267,0,1,Male,4,39.6875,16,S
268,1,1,Male,1,7.775,25,S
269,1,3,Female,0,153.4625,58,S
270,1,3,Female,0,135.6333,35,S
271,0,3,Male,0,31,29,S
272,1,1,Male,0,0,25,S
273,1,2,Female,0,19.5,41,S
274,0,3,Male,0,29.7,37,C
275,1,1,Female,0,7.75,22,Q
276,1,3,Female,1,77.9583,63,S
277,0,1,Female,0,7.75,45,S
278,0,2,Male,0,0,29,S
279,0,1,Male,4,29.125,7,Q
280,1,1,Female,1,20.25,35,S
281,0,1,Male,0,7.75,65,Q
282,0,1,Male,0,7.8542,28,S
283,0,1,Male,0,9.5,16,S
284,1,1,Male,0,8.05,19,S
285,0,3,Male,0,26,29,S
286,0,1,Male,0,8.6625,33,C
287,1,1,Male,0,9.5,30,S
288,0,1,Male,0,7.8958,22,S
289,1,2,Male,0,13,42,S
290,1,1,Female,0,7.75,22,Q
291,1,3,Female,0,78.85,26,S
292,1,3,Female,1,91.0792,19,C
293,0,2,Male,0,12.875,36,C
294,0,1,Female,0,8.85,24,S
295,0,1,Male,0,7.8958,24,S
296,0,3,Male,0,27.7208,29,C
297,0,1,Male,0,7.2292,23.5,C
298,0,3,Female,1,151.55,2,S
299,1,3,Male,0,30.5,29,S
300,1,3,Female,0,247.5208,50,C
301,1,1,Female,0,7.75,22,Q
302,1,1,Male,2,23.25,29,Q
303,0,1,Male,0,0,19,S
304,1,2,Female,0,12.35,22,Q
305,0,1,Male,0,8.05,29,S
306,1,3,Male,1,151.55,0.92,S
307,1,3,Female,0,110.8833,22,C
308,1,3,Female,1,108.9,17,C
309,0,2,Male,1,24,30,C
310,1,3,Female,0,56.9292,30,C
311,1,3,Female,0,83.1583,24,C
312,1,3,Female,2,262.375,18,C
313,0,2,Female,1,26,26,S
314,0,1,Male,0,7.8958,28,S
315,0,2,Male,1,26.25,43,S
316,1,1,Female,0,7.8542,26,S
317,1,2,Female,1,26,24,S
318,0,2,Male,0,14,54,S
319,1,3,Female,0,164.8667,31,S
320,1,3,Female,1,134.5,40,C
321,0,1,Male,0,7.25,22,S
322,0,1,Male,0,7.8958,27,S
323,1,2,Female,0,12.35,30,Q
324,1,2,Female,1,29,22,S
325,0,1,Male,8,69.55,29,S
326,1,3,Female,0,135.6333,36,C
327,0,1,Male,0,6.2375,61,S
328,1,2,Female,0,13,36,S
329,1,1,Female,1,20.525,31,S
330,1,3,Female,0,57.9792,16,C
331,1,1,Female,2,23.25,22,Q
332,0,3,Male,0,28.5,45.5,S
333,0,3,Male,0,153.4625,38,S
334,0,1,Male,2,18,16,S
335,1,3,Female,1,133.65,37,S
336,0,1,Male,0,7.8958,29,S
337,0,3,Male,1,66.6,29,S
338,1,3,Female,0,134.5,41,C
339,1,1,Male,0,8.05,45,S
340,0,3,Male,0,35.5,45,S
341,1,2,Male,1,26,2,S
342,1,3,Female,3,263,24,S
343,0,2,Male,0,13,28,S
344,0,2,Male,0,13,25,S
345,0,2,Male,0,13,36,S
346,1,2,Female,0,13,24,S
347,1,2,Female,0,13,40,S
348,1,1,Female,1,16.1,37,S
349,1,1,Male,1,15.9,3,S
350,0,1,Male,0,8.6625,42,S
351,0,1,Male,0,9.225,23,S
352,0,3,Male,0,35,29,S
353,0,1,Male,1,7.2292,15,C
354,0,1,Male,1,17.8,25,S
355,0,1,Male,0,7.225,29,C
356,0,1,Male,0,9.5,28,S
357,1,3,Female,0,55,22,S
358,0,2,Female,0,13,38,S
359,1,1,Female,0,7.8792,22,Q
360,1,1,Female,0,7.8792,22,Q
361,0,1,Male,1,27.9,40,S
362,0,2,Male,1,27.7208,29,C
363,0,1,Female,0,14.4542,45,C
364,0,1,Male,0,7.05,35,S
365,0,1,Male,1,15.5,29,Q
366,0,1,Male,0,7.25,30,S
367,1,3,Female,1,75.25,60,C
368,1,1,Female,0,7.2292,37,C
369,1,1,Female,0,7.75,22,Q
370,1,3,Female,0,69.3,24,C
371,1,3,Male,1,55.4417,25,C
372,0,1,Male,1,6.4958,18,S
373,0,1,Male,0,8.05,19,S
374,0,3,Male,0,135.6333,22,C
375,0,1,Female,3,21.075,3,S
376,1,3,Female,1,82.1708,37,C
377,1,1,Female,0,7.25,22,S
378,0,3,Male,0,211.5,27,C
379,0,1,Male,0,4.0125,20,C
380,0,1,Male,0,7.775,19,S
381,1,3,Female,0,227.525,42,C
382,1,1,Female,0,15.7417,1,C
383,0,1,Male,0,7.925,32,S
384,1,3,Female,1,52,35,S
385,0,1,Male,0,7.8958,29,S
386,0,2,Male,0,73.5,18,S
387,0,1,Male,5,46.9,1,S
388,1,2,Female,0,13,36,S
389,0,1,Male,0,7.7292,29,Q
390,1,2,Female,0,12,17,C
391,1,3,Male,1,120,36,S
392,1,1,Male,0,7.7958,21,S
393,0,1,Male,2,7.925,28,S
394,1,3,Female,1,113.275,23,C
395,1,1,Female,0,16.7,24,S
396,0,1,Male,0,7.7958,22,S
397,0,1,Female,0,7.8542,31,S
398,0,2,Male,0,26,46,S
399,0,2,Male,0,10.5,23,S
400,1,2,Female,0,12.65,28,S
401,1,1,Male,0,7.925,39,S
402,0,1,Male,0,8.05,26,S
403,0,1,Female,1,9.825,21,S
404,0,1,Male,1,15.85,28,S
405,0,1,Female,0,8.6625,20,S
406,0,2,Male,1,21,34,S
407,0,1,Male,0,7.75,51,S
408,1,2,Male,1,18.75,3,S
409,0,1,Male,0,7.775,21,S
410,0,1,Female,3,25.4667,22,S
411,0,1,Male,0,7.8958,29,S
412,0,1,Male,0,6.8583,29,Q
413,1,3,Female,1,90,33,Q
414,0,2,Male,0,0,29,S
415,1,1,Male,0,7.925,44,S
416,0,1,Female,0,8.05,37,S
417,1,2,Female,1,32.5,34,S
418,1,2,Female,0,13,18,S
419,0,2,Male,0,13,30,S
420,0,1,Female,0,24.15,10,S
421,0,1,Male,0,7.8958,29,C
422,0,1,Male,0,7.7333,21,Q
423,0,1,Male,0,7.875,29,S
424,0,1,Female,1,14.4,28,S
425,0,1,Male,1,20.2125,18,S
426,0,1,Male,0,7.25,29,S
427,1,2,Female,1,26,28,S
428,1,2,Female,0,26,19,S
429,0,1,Male,0,7.75,29,Q
430,1,1,Male,0,8.05,32,S
431,1,3,Male,0,26.55,28,S
432,1,1,Female,1,16.1,37,S
433,1,2,Female,1,26,42,S
434,0,1,Male,0,7.125,17,S
435,0,3,Male,1,55.9,50,S
436,1,3,Female,1,120,14,S
437,0,1,Female,2,34.375,21,S
438,1,2,Female,2,18.75,24,S
439,0,3,Male,1,263,64,S
440,0,2,Male,0,10.5,31,S
441,1,2,Female,1,26.25,45,S
442,0,1,Male,0,9.5,20,S
443,0,1,Male,1,7.775,25,S
444,1,2,Female,0,13,28,S
445,1,1,Male,0,8.1125,29,S
446,1,3,Male,0,81.8583,4,S
447,1,2,Female,0,19.5,13,S
448,1,3,Male,0,26.55,34,S
449,1,1,Female,2,19.2583,5,C
450,1,3,Male,0,30.5,52,S
451,0,2,Male,1,27.75,36,S
452,0,1,Male,1,19.9667,29,S
453,0,3,Male,0,27.75,30,C
454,1,3,Male,1,89.1042,49,C
455,0,1,Male,0,8.05,29,S
456,1,1,Male,0,7.8958,29,C
457,0,3,Male,0,26.55,65,S
458,1,3,Female,1,51.8625,37,S
459,1,2,Female,0,10.5,50,S
460,0,1,Male,0,7.75,29,Q
461,1,3,Male,0,26.55,48,S
462,0,1,Male,0,8.05,34,S
463,0,3,Male,0,38.5,47,S
464,0,2,Male,0,13,48,S
465,0,1,Male,0,8.05,29,S
466,0,1,Male,0,7.05,38,S
467,0,2,Male,0,0,29,S
468,0,3,Male,0,26.55,56,S
469,0,1,Male,0,7.725,29,Q
470,1,1,Female,2,19.2583,0.75,C
471,0,1,Male,0,7.25,29,S
472,0,1,Male,0,8.6625,38,S
473,1,2,Female,1,27.75,33,S
474,1,2,Female,0,13.7917,23,C
475,0,1,Female,0,9.8375,22,S
476,0,3,Male,0,52,29,S
477,0,2,Male,1,21,34,S
478,0,1,Male,1,7.0458,29,S
479,0,1,Male,0,7.5208,22,S
480,1,1,Female,0,12.2875,2,S
481,0,1,Male,5,46.9,9,S
482,0,2,Male,0,0,29,S
483,0,1,Male,0,8.05,50,S
484,1,1,Female,0,9.5875,63,S
485,1,3,Male,1,91.0792,25,C
486,0,1,Female,3,25.4667,22,S
487,1,3,Female,1,90,35,S
488,0,3,Male,0,29.7,58,C
489,0,1,Male,0,8.05,30,S
490,1,1,Male,1,15.9,9,S
491,0,1,Male,1,19.9667,29,S
492,0,1,Male,0,7.25,21,S
493,0,3,Male,0,30.5,55,S
494,0,3,Male,0,49.5042,71,C
495,0,1,Male,0,8.05,21,S
496,0,1,Male,0,14.4583,29,C
497,1,3,Female,1,78.2667,54,C
498,0,1,Male,0,15.1,29,S
499,0,3,Female,1,151.55,25,S
500,0,1,Male,0,7.7958,24,S
501,0,1,Male,0,8.6625,17,S
502,0,1,Female,0,7.75,21,Q
503,0,1,Female,0,7.6292,22,Q
504,0,1,Female,0,9.5875,37,S
505,1,3,Female,0,86.5,16,S
506,0,3,Male,1,108.9,18,C
507,1,2,Female,0,26,33,S
508,1,3,Male,0,26.55,29,S
509,0,1,Male,0,22.525,28,S
510,1,1,Male,0,56.4958,26,S
511,1,1,Male,0,7.75,29,Q
512,0,1,Male,0,8.05,29,S
513,1,3,Male,0,26.2875,36,S
514,1,3,Female,1,59.4,54,C
515,0,1,Male,0,7.4958,24,S
516,0,3,Male,0,34.0208,47,S
517,1,2,Female,0,10.5,34,S
518,0,1,Male,0,24.15,29,Q
519,1,2,Female,1,26,36,S
520,0,1,Male,0,7.8958,32,S
521,1,3,Female,0,93.5,30,S
522,0,1,Male,0,7.8958,22,S
523,0,1,Male,0,7.225,29,C
524,1,3,Female,0,57.9792,44,C
525,0,1,Male,0,7.2292,29,C
526,0,1,Male,0,7.75,40.5,Q
527,1,2,Female,0,10.5,50,S
528,0,3,Male,0,221.7792,29,S
529,0,1,Male,0,7.925,39,S
530,0,2,Male,2,11.5,23,S
531,1,2,Female,1,26,2,S
532,0,1,Male,0,7.2292,29,C
533,0,1,Male,1,7.2292,17,C
534,1,1,Female,0,22.3583,37,C
535,0,1,Female,0,8.6625,30,S
536,1,2,Female,0,26.25,7,S
537,0,3,Male,0,26.55,45,S
538,1,3,Female,0,106.425,30,C
539,0,1,Male,0,14.5,29,S
540,1,3,Female,0,49.5,22,C
541,1,3,Female,0,71,36,S
542,0,1,Female,4,31.275,9,S
543,0,1,Female,4,31.275,11,S
544,1,2,Male,1,26,32,S
545,0,3,Male,1,106.425,50,C
546,0,3,Male,0,26,64,S
547,1,2,Female,1,26,19,S
548,1,2,Male,0,13.8625,29,C
549,0,1,Male,1,20.525,33,S
550,1,2,Male,1,36.75,8,S
551,1,3,Male,0,110.8833,17,C
552,0,2,Male,0,26,27,S
553,0,1,Male,0,7.8292,29,Q
554,1,1,Male,0,7.225,22,C
555,1,1,Female,0,7.775,22,S
556,0,3,Male,0,26.55,62,S
557,1,3,Female,1,39.6,48,C
558,0,3,Male,0,227.525,29,C
559,1,3,Female,1,79.65,39,S
560,1,1,Female,1,17.4,36,S
561,0,1,Male,0,7.75,29,Q
562,0,1,Male,0,7.8958,40,S
563,0,2,Male,0,13.5,28,S
564,0,1,Male,0,8.05,29,S
565,0,1,Female,0,8.05,22,S
566,0,1,Male,2,24.15,24,S
567,0,1,Male,0,7.8958,19,S
568,0,1,Female,0,21.075,29,S
569,0,1,Male,0,7.2292,29,C
570,1,1,Male,0,7.8542,32,S
571,1,2,Male,0,10.5,62,S
572,1,3,Female,2,51.4792,53,S
573,1,3,Male,0,26.3875,36,S
574,1,1,Female,0,7.75,22,Q
575,0,1,Male,0,8.05,16,S
576,0,1,Male,0,14.5,19,S
577,1,2,Female,0,13,34,S
578,1,3,Female,1,55.9,39,S
579,0,1,Female,1,14.4583,37,C
580,1,1,Male,0,7.925,32,S
581,1,2,Female,1,30,25,S
582,1,3,Female,1,110.8833,39,C
583,0,2,Male,0,26,54,S
584,0,3,Male,0,40.125,36,C
585,0,1,Male,0,8.7125,29,C
586,1,3,Female,0,79.65,18,S
587,0,2,Male,0,15,47,S
588,1,3,Male,1,79.2,60,C
589,0,1,Male,0,8.05,22,S
590,0,1,Male,0,8.05,29,S
591,0,1,Male,0,7.125,35,S
592,1,3,Female,1,78.2667,52,C
593,0,1,Male,0,7.25,47,S
594,0,1,Female,0,7.75,22,Q
595,0,2,Male,1,26,37,S
596,0,1,Male,1,24.15,36,S
597,1,2,Female,0,33,22,S
598,0,1,Male,0,0,49,S
599,0,1,Male,0,7.225,29,C
600,1,3,Male,1,56.9292,49,C
601,1,2,Female,2,27,24,S
602,0,1,Male,0,7.8958,29,S
603,0,3,Male,0,42.4,29,S
604,0,1,Male,0,8.05,44,S
605,1,3,Male,0,26.55,35,C
606,0,1,Male,1,15.55,36,S
607,0,1,Male,0,7.8958,30,S
608,1,3,Male,0,30.5,27,S
609,1,2,Female,1,41.5792,22,C
610,1,3,Female,0,153.4625,40,S
611,0,1,Female,1,31.275,39,S
612,0,1,Male,0,7.05,29,S
613,1,1,Female,1,15.5,22,Q
614,0,1,Male,0,7.75,29,Q
615,0,1,Male,0,8.05,35,S
616,1,2,Female,1,65,24,S
617,0,1,Male,1,14.4,34,S
618,0,1,Female,1,16.1,26,S
619,1,2,Female,2,39,4,S
620,0,2,Male,0,10.5,26,S
621,0,1,Male,1,14.4542,27,C
622,1,3,Male,1,52.5542,42,S
623,1,1,Male,1,15.7417,20,C
624,0,1,Male,0,7.8542,21,S
625,0,1,Male,0,16.1,21,S
626,0,3,Male,0,32.3208,61,S
627,0,2,Male,0,12.35,57,Q
628,1,3,Female,0,77.9583,21,S
629,0,1,Male,0,7.8958,26,S
630,0,1,Male,0,7.7333,29,Q
631,1,3,Male,0,30,80,S
632,0,1,Male,0,7.0542,51,S
633,1,3,Male,0,30.5,32,C
634,0,3,Male,0,0,29,S
635,0,1,Female,3,27.9,9,S
636,1,2,Female,0,13,28,S
637,0,1,Male,0,7.925,32,S
638,0,2,Male,1,26.25,31,S
639,0,1,Female,0,39.6875,41,S
640,0,1,Male,1,16.1,29,S
641,0,1,Male,0,7.8542,20,S
642,1,3,Female,0,69.3,24,C
643,0,1,Female,3,27.9,2,S
644,1,1,Male,0,56.4958,29,S
645,1,1,Female,2,19.2583,0.75,C
646,1,3,Male,1,76.7292,48,C
647,0,1,Male,0,7.8958,19,S
648,1,3,Male,0,35.5,56,C
649,0,1,Male,0,7.55,29,S
650,1,1,Female,0,7.55,23,S
651,0,1,Male,0,7.8958,29,S
652,1,2,Female,0,23,18,S
653,0,1,Male,0,8.4333,21,S
654,1,1,Female,0,7.8292,22,Q
655,0,1,Female,0,6.75,18,Q
656,0,2,Male,2,73.5,24,S
657,0,1,Male,0,7.8958,29,S
658,0,1,Female,1,15.5,32,Q
659,0,2,Male,0,13,23,S
660,0,3,Male,0,113.275,58,C
661,1,3,Male,2,133.65,50,S
